company,wiki_title,wiki_href,official_site,status,keep_for_brand_guide_pool,evidence_url,evidence_type,notes
Abbott Laboratories,Abbott Laboratories,https://de.wikipedia.org/wiki/Abbott_Laboratories,https://abbott.com,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
AbbVie,AbbVie,https://de.wikipedia.org/wiki/AbbVie,https://www.abbvie.com/,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
Accenture,Accenture,https://de.wikipedia.org/wiki/Accenture,https://www.accenture.com/,partial_official_material,yes,https://www.accenture.com/de-de,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Adobe Inc.,Adobe Inc.,https://de.wikipedia.org/wiki/Adobe_Inc.,https://www.adobe.com/,minimal_official_material,no,https://www.adobe.com/,minimal_term,Only thin official material surfaced in the scan budget.
Agricultural Bank of China,Agricultural Bank of China,https://de.wikipedia.org/wiki/Agricultural_Bank_of_China,https://www.abchina.com,minimal_official_material,no,https://www.abchina.com/cn/,minimal_term,Only thin official material surfaced in the scan budget.
Alibaba Group,Alibaba Group,https://de.wikipedia.org/wiki/Alibaba_Group,https://www.alibabagroup.com/,partial_official_material,yes,https://www.alibabagroup.com/en-US/logos,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Alibaba.com,Alibaba.com,https://de.wikipedia.org/wiki/Alibaba.com,https://www.alibaba.com,partial_official_material,yes,https://error.alibaba.com/error404.htm,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Allianz,Allianz SE,https://de.wikipedia.org/wiki/Allianz_SE,https://www.allianz.com/,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
Alphabet,Alphabet Inc.,https://de.wikipedia.org/wiki/Alphabet_Inc.,https://abc.xyz/,minimal_official_material,no,https://abc.xyz/,minimal_term,Only thin official material surfaced in the scan budget.
Amazon.com,Amazon.com,https://de.wikipedia.org/wiki/Amazon.com,https://www.amazon.com/,partial_official_material,yes,https://www.amazon.com/gp/browse.html?node=10159584011&ref=logoaivpage,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
AMD,AMD,https://de.wikipedia.org/wiki/AMD,https://www.amd.com/,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
American Express,American Express,https://de.wikipedia.org/wiki/American_Express,https://www.americanexpress.com/,partial_official_material,yes,https://www.americanexpress.com/de-de/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Amgen,Amgen Inc.,https://de.wikipedia.org/wiki/Amgen_Inc.,https://www.amgen.com/,partial_official_material,yes,https://www.amgen.com/-/media/Themes/CorporateAffairs/amgen-com/amgen-com/styles/main.css,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Anheuser-Busch InBev,Anheuser-Busch InBev,https://de.wikipedia.org/wiki/Anheuser-Busch_InBev,https://www.ab-inbev.com/,partial_official_material,yes,https://www.ab-inbev.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Apple,Apple,https://de.wikipedia.org/wiki/Apple,https://apple.com,partial_official_material,yes,https://www.apple.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
ASML,ASML,https://de.wikipedia.org/wiki/ASML,https://www.asml.com/,partial_official_material,yes,https://www.asml.com/images/icons/asml-logo.svg#logo,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
AstraZeneca,AstraZeneca,https://de.wikipedia.org/wiki/AstraZeneca,http://www.astrazeneca.com/,partial_official_material,yes,https://www.astrazeneca.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
AT&T,AT&T,https://de.wikipedia.org/wiki/AT%26T,https://www.att.com,partial_official_material,yes,https://www.att.com,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
AXA,AXA,https://de.wikipedia.org/wiki/AXA,https://www.axa.com/,partial_official_material,yes,https://www.axa.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Banco Santander,Banco Santander,https://de.wikipedia.org/wiki/Banco_Santander,https://www.santander.com/,partial_official_material,yes,https://www.santander.com/en/home,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Bank of America,Bank of America,https://de.wikipedia.org/wiki/Bank_of_America,https://www.bankofamerica.com/,partial_official_material,yes,https://www.bankofamerica.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Bank of China,Bank of China,https://de.wikipedia.org/wiki/Bank_of_China,https://www.boc.cn,partial_official_material,yes,https://www.boc.cn,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Bank of Communications,Bank of Communications,https://de.wikipedia.org/wiki/Bank_of_Communications,https://www.bankcomm.com/,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
Bank of Nova Scotia,Bank of Nova Scotia,https://de.wikipedia.org/wiki/Bank_of_Nova_Scotia,https://www.scotiabank.com/,partial_official_material,yes,https://www.scotiabank.com/global/en/global-site.html,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
BBVA,BBVA,https://de.wikipedia.org/wiki/BBVA,https://www.bbva.com/en/,partial_official_material,yes,https://www.bbva.com/en/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Berkshire Hathaway,Berkshire Hathaway,https://de.wikipedia.org/wiki/Berkshire_Hathaway,https://www.berkshirehathaway.com/,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
BMW,BMW,https://de.wikipedia.org/wiki/BMW,https://www.bmw.com,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
BMW Group,BMW Group,https://de.wikipedia.org/wiki/BMW_Group,https://www.bmwgroup.com/,partial_official_material,yes,https://www.bmwgroup.com/en.html,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
BNP Paribas,BNP Paribas,https://de.wikipedia.org/wiki/BNP_Paribas,https://group.bnpparibas,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
